#EventID|Time|Latitude|Longitude|Depth/km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType
625729845|2023-02-06T05:04:31.938|37.3490|37.0540|8.0|ISC|ISC|ISC|637583204|mb|4.12|ISC|Turkey|earthquake
625729850|2023-02-06T05:12:52.967|37.4994|37.1921|10.0|ISC|ISC|ISC|637583208|MW|4.00|AFAD|Turkey|earthquake
625674047|2023-02-06T05:16:55.296|37.8458|37.7865|6.6|ISC|ISC|ISC|637583210|MW|4.40|AFAD|Turkey|earthquake
642689011|2023-02-06T05:17:56.000|38.1070|38.4640|7.0|AFAD|AFAD|AFAD|637574656|MW|4.10|AFAD|Turkey|earthquake
626661135|2023-02-06T05:22:50.540|38.0524|38.3717|10.6|ISC|ISC|ISC|637583214|MW|3.80|AFAD|Turkey|earthquake
625674048|2023-02-06T05:31:22.326|38.0948|38.2330|6.5|ISC|ISC|ISC|637583217|MW|4.10|AFAD|Turkey|earthquake
626661145|2023-02-06T05:33:09.983|38.1021|38.3109|7.9|ISC|ISC|ISC|637583219|MW|4.30|AFAD|Turkey|earthquake
625729852|2023-02-06T05:35:20.907|36.4192|36.2452|5.4|ISC|ISC|ISC|637583220|mb|4.52|ISC|Jordan-Syria region|earthquake
625613249|2023-02-06T05:36:33.112|36.3462|36.1140|6.6|ISC|ISC|ISC|637583221|Mws|4.57|GSI|Jordan-Syria region|earthquake
626661147|2023-02-06T05:40:36.749|37.9745|38.1789|9.6|ISC|ISC|ISC|637583223|MW|4.20|AFAD|Turkey|earthquake
625729855|2023-02-06T05:43:50.205|36.2620|36.1665|11.7|ISC|ISC|ISC|637583226|Mws|4.19|GSI|Jordan-Syria region|earthquake
625674049|2023-02-06T05:44:55.800|36.4126|36.2600|7.4|ISC|ISC|ISC|637583227|MW|4.30|AFAD|Jordan-Syria region|earthquake
625613252|2023-02-06T05:55:50.959|38.0545|38.4449|10.2|ISC|ISC|ISC|637583236|MW|4.40|AFAD|Turkey|earthquake
625729859|2023-02-06T05:56:31.051|37.2061|36.8509|10.0|ISC|ISC|ISC|637583237|mb|3.96|ISC|Turkey|earthquake
642689020|2023-02-06T06:21:22.000|37.0570|38.5980|7.0|AFAD|AFAD|AFAD|637574613|ML|4.00|AFAD|Turkey|earthquake
642736776|2023-02-06T06:26:12.895|36.0129|36.0659|10.7|ISC|ISC|ISC|637612903|Mws|3.92|GSI|Jordan-Syria region|earthquake
625613254|2023-02-06T06:26:28.794|37.3105|37.0534|12.0|ISC|ISC|ISC|637611051|Mws|4.48|GSI|Turkey|earthquake
625729863|2023-02-06T06:27:51.262|38.0507|38.2619|2.2|ISC|ISC|ISC|637583251|MW|4.20|AFAD|Turkey|earthquake
625729866|2023-02-06T06:38:09.471|36.7529|36.5408|9.5|ISC|ISC|ISC|637583258|MW|4.20|AFAD|Jordan-Syria region|earthquake
642689029|2023-02-06T06:54:57.716|37.7156|37.4464|4.4|ISC|ISC|ISC|637583266|Mwr|4.80|NEIC|Turkey|earthquake
625729870|2023-02-06T06:59:04.584|37.5137|37.1448|14.0|ISC|ISC|ISC|637583267|mb|4.14|ISC|Turkey|earthquake
625614280|2023-02-06T07:08:31.653|36.6094|36.4719|10.1|ISC|ISC|ISC|637583271|MW|4.40|AFAD|Jordan-Syria region|earthquake
626661229|2023-02-06T07:08:42.700|37.4602|36.8688|5.0|ISK|ISK|ISK|620353468|ML|4.00|ISK|Turkey|earthquake
626661237|2023-02-06T07:24:24.656|36.1276|35.9582|16.0|ISC|ISC|ISC|637583277|Mws|4.13|GSI|Turkey|earthquake
625614285|2023-02-06T07:29:40.015|35.6668|35.3660|7.9|ISC|ISC|ISC|637583280|Mws|4.36|GSI|Jordan-Syria region|earthquake
625729877|2023-02-06T07:41:13.429|37.9250|37.9882|4.5|ISC|ISC|ISC|637583285|MW|4.20|AFAD|Turkey|earthquake
625729879|2023-02-06T07:54:39.068|35.6514|35.5912|10.0|ISC|ISC|ISC|637583292|Mws|4.08|GSI|Jordan-Syria region|earthquake
625614292|2023-02-06T08:01:48.625|36.7010|36.3459|11.0|ISC|ISC|ISC|637583294|Mws|4.37|GSI|Jordan-Syria region|earthquake
